Day,Time,Timestamp,Count 1204,Count 0412,Count 0221,Count 0212,Count 0222,,1204,round,0412,round,0221,round,0212,round,0222,round
2019-08-13,07:00,2019-08-13 07:00,0,0,0,0,0,,2019-08-13 07:47,2019-08-13 07:30,2019-08-13 17:24,2019-08-13 17:00,2019-08-14 15:03,2019-08-14 15:00,2019-08-13 16:17,2019-08-13 16:00,2019-08-15 11:39,2019-08-15 11:30
2019-08-13,07:30,2019-08-13 07:30,1,0,0,0,0,,2019-08-13 09:00,2019-08-13 09:00,2019-08-14 16:35,2019-08-14 16:30,2019-08-16 13:16,2019-08-16 13:00,2019-08-14 11:58,2019-08-14 11:30,2019-08-15 18:40,2019-08-15 18:30
2019-08-13,08:00,2019-08-13 08:00,0,0,0,0,0,,2019-08-13 10:55,2019-08-13 10:30,2019-08-15 15:38,2019-08-15 15:30,2019-08-16 16:05,2019-08-16 16:00,2019-08-14 12:31,2019-08-14 12:30,2019-08-16 16:05,2019-08-16 16:00
2019-08-13,08:30,2019-08-13 08:30,0,0,0,0,0,,2019-08-14 07:53,2019-08-14 07:30,2019-08-15 19:19,2019-08-15 19:00,2019-08-19 08:33,2019-08-19 08:30,2019-08-14 16:00,2019-08-14 16:00,2019-08-16 17:32,2019-08-16 17:30
2019-08-13,09:00,2019-08-13 09:00,1,0,0,0,0,,2019-08-14 08:59,2019-08-14 08:30,2019-08-16 15:09,2019-08-16 15:00,2019-08-19 15:31,2019-08-19 15:30,2019-08-14 17:02,2019-08-14 17:00,2019-08-19 15:23,2019-08-19 15:00
2019-08-13,09:30,2019-08-13 09:30,0,0,0,0,0,,2019-08-14 09:33,2019-08-14 09:30,2019-08-19 18:26,2019-08-19 18:00,2019-08-19 16:15,2019-08-19 16:00,2019-08-15 08:56,2019-08-15 08:30,2019-08-19 15:23,2019-08-19 15:00
2019-08-13,10:00,2019-08-13 10:00,0,0,0,0,0,,2019-08-14 12:10,2019-08-14 12:00,2019-08-20 08:53,2019-08-20 08:30,2019-08-20 07:50,2019-08-20 07:30,2019-08-15 13:57,2019-08-15 13:30,2019-08-19 15:46,2019-08-19 15:30
2019-08-13,10:30,2019-08-13 10:30,1,0,0,0,0,,2019-08-15 09:19,2019-08-15 09:00,2019-08-20 14:29,2019-08-20 14:00,2019-08-20 17:20,2019-08-20 17:00,2019-08-15 14:56,2019-08-15 14:30,2019-08-19 15:50,2019-08-19 15:30
2019-08-13,11:00,2019-08-13 11:00,0,0,0,0,0,,2019-08-15 14:09,2019-08-15 14:00,2019-08-20 15:58,2019-08-20 15:30,2019-08-21 08:51,2019-08-21 08:30,2019-08-15 14:56,2019-08-15 14:30,2019-08-19 16:08,2019-08-19 16:00
2019-08-13,11:30,2019-08-13 11:30,0,0,0,0,0,,2019-08-15 16:36,2019-08-15 16:30,2019-08-20 16:45,2019-08-20 16:30,2019-08-22 08:28,2019-08-22 08:00,2019-08-15 20:18,2019-08-15 20:00,2019-08-19 17:41,2019-08-19 17:30
2019-08-13,12:00,2019-08-13 12:00,0,0,0,0,0,,2019-08-16 07:44,2019-08-16 07:30,2019-08-21 16:18,2019-08-21 16:00,2019-08-22 19:00,2019-08-22 19:00,2019-08-15 20:18,2019-08-15 20:00,2019-08-20 15:20,2019-08-20 15:00
2019-08-13,12:30,2019-08-13 12:30,0,0,0,0,0,,2019-08-16 09:09,2019-08-16 09:00,2019-08-21 16:20,2019-08-21 16:00,2019-08-23 14:53,2019-08-23 14:30,2019-08-16 14:19,2019-08-16 14:00,2019-08-20 15:20,2019-08-20 15:00
2019-08-13,13:00,2019-08-13 13:00,0,0,0,0,0,,2019-08-16 09:40,2019-08-16 09:30,2019-08-21 16:30,2019-08-21 16:30,2019-08-23 15:29,2019-08-23 15:00,2019-08-16 15:11,2019-08-16 15:00,2019-08-20 15:34,2019-08-20 15:30
2019-08-13,13:30,2019-08-13 13:30,0,0,0,0,0,,2019-08-16 19:48,2019-08-16 19:30,2019-08-22 16:20,2019-08-22 16:00,2019-08-26 18:17,2019-08-26 18:00,2019-08-16 15:31,2019-08-16 15:30,2019-08-20 18:22,2019-08-20 18:00
2019-08-13,14:00,2019-08-13 14:00,0,0,0,0,0,,2019-08-19 07:21,2019-08-19 07:00,2019-08-23 13:33,2019-08-23 13:30,2019-08-27 14:53,2019-08-27 14:30,2019-08-16 18:25,2019-08-16 18:00,2019-08-21 12:38,2019-08-21 12:30
2019-08-13,14:30,2019-08-13 14:30,0,0,0,0,0,,2019-08-19 07:52,2019-08-19 07:30,2019-08-23 16:00,2019-08-23 16:00,2019-08-27 15:46,2019-08-27 15:30,2019-08-16 18:41,2019-08-16 18:30,2019-08-22 13:24,2019-08-22 13:00
2019-08-13,15:00,2019-08-13 15:00,0,0,0,0,0,,2019-08-19 10:47,2019-08-19 10:30,2019-08-23 17:23,2019-08-23 17:00,2019-08-27 16:05,2019-08-27 16:00,2019-08-16 18:42,2019-08-16 18:30,2019-08-22 20:25,2019-08-22 20:00
2019-08-13,15:30,2019-08-13 15:30,0,0,0,0,0,,2019-08-20 07:25,2019-08-20 07:00,2019-08-23 17:24,2019-08-23 17:00,2019-08-27 18:13,2019-08-27 18:00,2019-08-16 18:48,2019-08-16 18:30,2019-08-22 20:50,2019-08-22 20:30
2019-08-13,16:00,2019-08-13 16:00,0,0,0,1,0,,2019-08-20 08:53,2019-08-20 08:30,2019-08-26 11:18,2019-08-26 11:00,2019-08-27 19:19,2019-08-27 19:00,2019-08-19 13:17,2019-08-19 13:00,2019-08-23 14:17,2019-08-23 14:00
2019-08-13,16:30,2019-08-13 16:30,0,0,0,0,0,,2019-08-20 09:32,2019-08-20 09:30,2019-08-26 13:42,2019-08-26 13:30,2019-08-28 07:19,2019-08-28 07:00,2019-08-19 14:50,2019-08-19 14:30,2019-08-26 16:17,2019-08-26 16:00
2019-08-13,17:00,2019-08-13 17:00,0,1,0,0,0,,2019-08-20 11:10,2019-08-20 11:00,2019-08-27 12:12,2019-08-27 12:00,2019-08-28 15:11,2019-08-28 15:00,2019-08-20 14:56,2019-08-20 14:30,2019-08-26 17:30,2019-08-26 17:30
2019-08-13,17:30,2019-08-13 17:30,0,0,0,0,0,,2019-08-20 12:49,2019-08-20 12:30,2019-08-27 15:42,2019-08-27 15:30,2019-08-28 16:00,2019-08-28 16:00,2019-08-20 19:06,2019-08-20 19:00,2019-08-26 19:30,2019-08-26 19:30
2019-08-13,18:00,2019-08-13 18:00,0,0,0,0,0,,2019-08-21 07:52,2019-08-21 07:30,2019-08-27 17:05,2019-08-27 17:00,2019-08-28 16:00,2019-08-28 16:00,2019-08-21 12:09,2019-08-21 12:00,2019-08-26 20:26,2019-08-26 20:00
2019-08-13,18:30,2019-08-13 18:30,0,0,0,0,0,,2019-08-21 09:16,2019-08-21 09:00,2019-08-28 16:32,2019-08-28 16:30,2019-08-28 16:32,2019-08-28 16:30,2019-08-21 12:10,2019-08-21 12:00,2019-08-27 15:24,2019-08-27 15:00
2019-08-13,19:00,2019-08-13 19:00,0,0,0,0,0,,2019-08-21 09:28,2019-08-21 09:00,2019-08-29 15:18,2019-08-29 15:00,2019-08-28 18:54,2019-08-28 18:30,2019-08-21 13:01,2019-08-21 13:00,2019-08-27 15:55,2019-08-27 15:30
2019-08-13,19:30,2019-08-13 19:30,0,0,0,0,0,,2019-08-21 12:36,2019-08-21 12:30,2019-08-29 16:24,2019-08-29 16:00,2019-08-29 13:40,2019-08-29 13:30,2019-08-21 16:12,2019-08-21 16:00,2019-08-28 15:12,2019-08-28 15:00
2019-08-13,20:00,2019-08-13 20:00,0,0,0,0,0,,2019-08-21 15:18,2019-08-21 15:00,2019-08-29 18:12,2019-08-29 18:00,2019-08-29 17:20,2019-08-29 17:00,2019-08-21 16:14,2019-08-21 16:00,2019-08-28 16:01,2019-08-28 16:00
2019-08-13,20:30,2019-08-13 20:30,0,0,0,0,0,,2019-08-23 08:31,2019-08-23 08:30,2019-08-29 19:00,2019-08-29 19:00,2019-08-29 17:31,2019-08-29 17:30,2019-08-21 20:25,2019-08-21 20:00,2019-08-30 12:53,2019-08-30 12:30
2019-08-13,21:00,2019-08-13 21:00,0,0,0,0,0,,2019-08-23 09:09,2019-08-23 09:00,2019-08-30 15:20,2019-08-30 15:00,2019-08-30 08:11,2019-08-30 08:00,2019-08-22 15:19,2019-08-22 15:00,2019-08-30 14:15,2019-08-30 14:00
2019-08-14,07:00,2019-08-14 07:00,0,0,0,0,0,,2019-08-23 10:13,2019-08-23 10:00,2019-09-02 15:48,2019-09-02 15:30,2019-09-02 16:01,2019-09-02 16:00,2019-08-22 19:45,2019-08-22 19:30,2019-08-30 17:03,2019-08-30 17:00
2019-08-14,07:30,2019-08-14 07:30,1,0,0,0,0,,2019-08-23 12:48,2019-08-23 12:30,2019-09-03 12:00,2019-09-03 12:00,2019-09-02 18:58,2019-09-02 18:30,2019-08-22 20:07,2019-08-22 20:00,2019-09-03 16:25,2019-09-03 16:00
2019-08-14,08:00,2019-08-14 08:00,0,0,0,0,0,,2019-08-23 15:35,2019-08-23 15:30,2019-09-04 16:16,2019-09-04 16:00,2019-09-03 14:39,2019-09-03 14:30,2019-08-23 13:08,2019-08-23 13:00,2019-09-03 16:25,2019-09-03 16:00
2019-08-14,08:30,2019-08-14 08:30,1,0,0,0,0,,2019-08-26 09:01,2019-08-26 09:00,2019-09-05 13:32,2019-09-05 13:30,2019-09-03 16:35,2019-09-03 16:30,2019-08-23 15:21,2019-08-23 15:00,2019-09-03 16:31,2019-09-03 16:30
2019-08-14,09:00,2019-08-14 09:00,0,0,0,0,0,,2019-08-26 09:06,2019-08-26 09:00,2019-09-05 15:06,2019-09-05 15:00,2019-09-03 18:10,2019-09-03 18:00,2019-08-23 18:22,2019-08-23 18:00,2019-09-05 12:54,2019-09-05 12:30
2019-08-14,09:30,2019-08-14 09:30,1,0,0,0,0,,2019-08-26 09:17,2019-08-26 09:00,2019-09-05 16:07,2019-09-05 16:00,2019-09-03 18:31,2019-09-03 18:30,2019-08-26 15:22,2019-08-26 15:00,2019-09-05 15:16,2019-09-05 15:00
2019-08-14,10:00,2019-08-14 10:00,0,0,0,0,0,,2019-08-26 12:50,2019-08-26 12:30,2019-09-05 16:47,2019-09-05 16:30,2019-09-04 08:14,2019-09-04 08:00,2019-08-26 16:06,2019-08-26 16:00,2019-09-05 16:10,2019-09-05 16:00
2019-08-14,10:30,2019-08-14 10:30,0,0,0,0,0,,2019-08-27 08:37,2019-08-27 08:30,2019-09-06 11:21,2019-09-06 11:00,2019-09-04 15:06,2019-09-04 15:00,2019-08-26 19:04,2019-08-26 19:00,2019-09-05 16:16,2019-09-05 16:00
2019-08-14,11:00,2019-08-14 11:00,0,0,0,0,0,,2019-08-27 08:46,2019-08-27 08:30,2019-09-06 15:19,2019-09-06 15:00,2019-09-04 15:08,2019-09-04 15:00,2019-08-27 15:18,2019-08-27 15:00,2019-09-05 18:35,2019-09-05 18:30
2019-08-14,11:30,2019-08-14 11:30,0,0,0,1,0,,2019-08-27 09:05,2019-08-27 09:00,2019-09-06 15:42,2019-09-06 15:30,2019-09-04 16:21,2019-09-04 16:00,2019-08-27 17:06,2019-08-27 17:00,2019-09-05 18:57,2019-09-05 18:30
2019-08-14,12:00,2019-08-14 12:00,1,0,0,0,0,,2019-08-27 09:08,2019-08-27 09:00,2019-09-06 17:07,2019-09-06 17:00,2019-09-05 08:35,2019-09-05 08:30,2019-08-28 16:05,2019-08-28 16:00,2019-09-05 19:26,2019-09-05 19:00
2019-08-14,12:30,2019-08-14 12:30,0,0,0,1,0,,2019-08-27 13:04,2019-08-27 13:00,2019-09-09 16:06,2019-09-09 16:00,2019-09-05 13:51,2019-09-05 13:30,2019-08-29 18:15,2019-08-29 18:00,2019-09-06 15:29,2019-09-06 15:00
2019-08-14,13:00,2019-08-14 13:00,0,0,0,0,0,,2019-08-28 07:13,2019-08-28 07:00,2019-09-09 16:14,2019-09-09 16:00,2019-09-05 14:51,2019-09-05 14:30,2019-08-30 09:10,2019-08-30 09:00,2019-09-06 15:30,2019-09-06 15:30
2019-08-14,13:30,2019-08-14 13:30,0,0,0,0,0,,2019-08-28 07:32,2019-08-28 07:30,2019-09-09 16:17,2019-09-09 16:00,2019-09-05 15:05,2019-09-05 15:00,2019-08-30 15:46,2019-08-30 15:30,2019-09-06 15:59,2019-09-06 15:30
2019-08-14,14:00,2019-08-14 14:00,0,0,0,0,0,,2019-08-28 11:02,2019-08-28 11:00,2019-09-09 18:11,2019-09-09 18:00,2019-09-05 15:53,2019-09-05 15:30,2019-08-30 20:39,2019-08-30 20:30,2019-09-06 18:24,2019-09-06 18:00
2019-08-14,14:30,2019-08-14 14:30,0,0,0,0,0,,2019-08-28 11:04,2019-08-28 11:00,2019-09-10 16:49,2019-09-10 16:30,2019-09-05 17:56,2019-09-05 17:30,2019-08-30 20:39,2019-08-30 20:30,2019-09-09 12:56,2019-09-09 12:30
2019-08-14,15:00,2019-08-14 15:00,0,0,1,0,0,,2019-08-28 14:09,2019-08-28 14:00,2019-09-10 18:36,2019-09-10 18:30,2019-09-05 18:05,2019-09-05 18:00,2019-09-02 11:59,2019-09-02 11:30,2019-09-09 18:31,2019-09-09 18:30
2019-08-14,15:30,2019-08-14 15:30,0,0,0,0,0,,2019-08-28 14:13,2019-08-28 14:00,2019-09-11 14:28,2019-09-11 14:00,2019-09-05 19:33,2019-09-05 19:30,2019-09-02 16:05,2019-09-02 16:00,2019-09-09 19:04,2019-09-09 19:00
2019-08-14,16:00,2019-08-14 16:00,0,0,0,1,0,,2019-08-28 15:04,2019-08-28 15:00,2019-09-11 15:05,2019-09-11 15:00,2019-09-06 16:14,2019-09-06 16:00,2019-09-02 16:24,2019-09-02 16:00,2019-09-09 20:01,2019-09-09 20:00
2019-08-14,16:30,2019-08-14 16:30,0,1,0,0,0,,2019-08-29 11:51,2019-08-29 11:30,2019-09-11 15:13,2019-09-11 15:00,2019-09-09 11:57,2019-09-09 11:30,2019-09-02 20:46,2019-09-02 20:30,2019-09-10 16:20,2019-09-10 16:00
2019-08-14,17:00,2019-08-14 17:00,0,0,0,1,0,,2019-08-29 18:22,2019-08-29 18:00,2019-09-11 16:44,2019-09-11 16:30,2019-09-09 16:11,2019-09-09 16:00,2019-09-03 15:38,2019-09-03 15:30,2019-09-10 19:08,2019-09-10 19:00
2019-08-14,17:30,2019-08-14 17:30,0,0,0,0,0,,2019-08-30 08:14,2019-08-30 08:00,2019-09-11 16:48,2019-09-11 16:30,2019-09-09 16:17,2019-09-09 16:00,2019-09-03 16:23,2019-09-03 16:00,2019-09-11 13:42,2019-09-11 13:30
2019-08-14,18:00,2019-08-14 18:00,0,0,0,0,0,,2019-08-30 08:30,2019-08-30 08:30,2019-09-11 17:19,2019-09-11 17:00,2019-09-10 16:41,2019-09-10 16:30,2019-09-03 16:32,2019-09-03 16:30,2019-09-12 15:19,2019-09-12 15:00
2019-08-14,18:30,2019-08-14 18:30,0,0,0,0,0,,2019-08-30 08:35,2019-08-30 08:30,2019-09-11 18:26,2019-09-11 18:00,2019-09-10 16:41,2019-09-10 16:30,2019-09-04 11:55,2019-09-04 11:30,2019-09-12 15:19,2019-09-12 15:00
2019-08-14,19:00,2019-08-14 19:00,0,0,0,0,0,,2019-08-30 08:38,2019-08-30 08:30,2019-09-12 15:43,2019-09-12 15:30,2019-09-10 16:42,2019-09-10 16:30,2019-09-04 11:56,2019-09-04 11:30,2019-09-12 15:53,2019-09-12 15:30
2019-08-14,19:30,2019-08-14 19:30,0,0,0,0,0,,2019-08-30 08:41,2019-08-30 08:30,2019-09-12 16:05,2019-09-12 16:00,2019-09-10 19:09,2019-09-10 19:00,2019-09-04 12:15,2019-09-04 12:00,2019-09-12 16:30,2019-09-12 16:30
2019-08-14,20:00,2019-08-14 20:00,0,0,0,0,0,,2019-08-30 08:41,2019-08-30 08:30,2019-09-12 17:15,2019-09-12 17:00,2019-09-11 12:46,2019-09-11 12:30,2019-09-04 15:38,2019-09-04 15:30,2019-09-12 16:56,2019-09-12 16:30
2019-08-14,20:30,2019-08-14 20:30,0,0,0,0,0,,2019-08-30 09:10,2019-08-30 09:00,2019-09-13 12:11,2019-09-13 12:00,2019-09-11 15:00,2019-09-11 15:00,2019-09-04 17:21,2019-09-04 17:00,2019-09-12 20:51,2019-09-12 20:30
2019-08-14,21:00,2019-08-14 21:00,0,0,0,0,0,,2019-08-30 10:07,2019-08-30 10:00,2019-09-13 15:08,2019-09-13 15:00,2019-09-11 18:26,2019-09-11 18:00,2019-09-06 14:01,2019-09-06 14:00,2019-09-13 12:06,2019-09-13 12:00
2019-08-15,07:00,2019-08-15 07:00,0,0,0,0,0,,2019-08-30 11:30,2019-08-30 11:30,2019-09-13 18:07,2019-09-13 18:00,2019-09-12 16:25,2019-09-12 16:00,2019-09-06 17:10,2019-09-06 17:00,2019-09-13 12:35,2019-09-13 12:30
2019-08-15,07:30,2019-08-15 07:30,0,0,0,0,0,,2019-08-30 15:27,2019-08-30 15:00,2019-09-16 10:42,2019-09-16 10:30,2019-09-12 16:58,2019-09-12 16:30,2019-09-09 16:43,2019-09-09 16:30,2019-09-13 12:40,2019-09-13 12:30
2019-08-15,08:00,2019-08-15 08:00,0,0,0,0,0,,2019-09-02 08:45,2019-09-02 08:30,2019-09-16 11:28,2019-09-16 11:00,2019-09-12 17:04,2019-09-12 17:00,2019-09-10 18:34,2019-09-10 18:30,2019-09-17 12:42,2019-09-17 12:30
2019-08-15,08:30,2019-08-15 08:30,0,0,0,1,0,,2019-09-02 08:47,2019-09-02 08:30,2019-09-16 15:31,2019-09-16 15:30,2019-09-16 12:10,2019-09-16 12:00,2019-09-10 18:36,2019-09-10 18:30,2019-09-17 13:09,2019-09-17 13:00
2019-08-15,09:00,2019-08-15 09:00,1,0,0,0,0,,2019-09-02 10:40,2019-09-02 10:30,2019-09-16 16:26,2019-09-16 16:00,2019-09-16 15:54,2019-09-16 15:30,2019-09-11 12:50,2019-09-11 12:30,2019-09-17 15:01,2019-09-17 15:00
2019-08-15,09:30,2019-08-15 09:30,0,0,0,0,0,,2019-09-02 11:49,2019-09-02 11:30,2019-09-16 18:08,2019-09-16 18:00,2019-09-16 16:36,2019-09-16 16:30,2019-09-11 13:16,2019-09-11 13:00,2019-09-17 15:32,2019-09-17 15:30
2019-08-15,10:00,2019-08-15 10:00,0,0,0,0,0,,2019-09-02 12:22,2019-09-02 12:00,2019-09-17 12:09,2019-09-17 12:00,2019-09-16 16:41,2019-09-16 16:30,2019-09-11 14:08,2019-09-11 14:00,2019-09-17 15:53,2019-09-17 15:30
2019-08-15,10:30,2019-08-15 10:30,0,0,0,0,0,,2019-09-03 08:52,2019-09-03 08:30,2019-09-17 16:50,2019-09-17 16:30,2019-09-17 08:04,2019-09-17 08:00,2019-09-11 16:58,2019-09-11 16:30,2019-09-17 16:12,2019-09-17 16:00
2019-08-15,11:00,2019-08-15 11:00,0,0,0,0,0,,2019-09-03 10:37,2019-09-03 10:30,2019-09-18 15:50,2019-09-18 15:30,2019-09-17 12:42,2019-09-17 12:30,2019-09-12 14:47,2019-09-12 14:30,2019-09-17 18:33,2019-09-17 18:30
2019-08-15,11:30,2019-08-15 11:30,0,0,0,0,1,,2019-09-04 07:52,2019-09-04 07:30,2019-09-18 16:41,2019-09-18 16:30,2019-09-17 15:48,2019-09-17 15:30,2019-09-12 17:20,2019-09-12 17:00,2019-09-18 14:15,2019-09-18 14:00
2019-08-15,12:00,2019-08-15 12:00,0,0,0,0,0,,2019-09-04 08:18,2019-09-04 08:00,2019-09-18 17:02,2019-09-18 17:00,2019-09-17 15:53,2019-09-17 15:30,2019-09-13 11:32,2019-09-13 11:30,2019-09-18 14:15,2019-09-18 14:00
2019-08-15,12:30,2019-08-15 12:30,0,0,0,0,0,,2019-09-04 08:18,2019-09-04 08:00,2019-09-19 12:56,2019-09-19 12:30,2019-09-17 15:59,2019-09-17 15:30,2019-09-13 15:26,2019-09-13 15:00,2019-09-18 15:06,2019-09-18 15:00
2019-08-15,13:00,2019-08-15 13:00,0,0,0,0,0,,2019-09-04 08:48,2019-09-04 08:30,2019-09-19 15:34,2019-09-19 15:30,2019-09-17 16:08,2019-09-17 16:00,2019-09-13 15:50,2019-09-13 15:30,2019-09-19 09:28,2019-09-19 09:00
