Day,Time,Timestamp,Count 1204,Count 0412,Count 0221,Count 0212,Count 0222,,1204,round,0412,round,0221,round,0212,round,0222,round
2019-08-15,13:30,2019-08-15 13:30,0,0,0,1,0,,2019-09-04 09:09,2019-09-04 09:00,2019-09-20 13:42,2019-09-20 13:30,2019-09-17 16:12,2019-09-17 16:00,2019-09-16 15:35,2019-09-16 15:30,2019-09-19 10:28,2019-09-19 10:00
2019-08-15,14:00,2019-08-15 14:00,1,0,0,0,0,,2019-09-04 09:17,2019-09-04 09:00,2019-09-20 14:20,2019-09-20 14:00,2019-09-17 16:26,2019-09-17 16:00,2019-09-16 17:25,2019-09-16 17:00,2019-09-19 11:41,2019-09-19 11:30
2019-08-15,14:30,2019-08-15 14:30,0,0,0,2,0,,2019-09-04 09:38,2019-09-04 09:30,2019-09-20 20:14,2019-09-20 20:00,2019-09-17 16:50,2019-09-17 16:30,2019-09-16 19:14,2019-09-16 19:00,2019-09-19 16:10,2019-09-19 16:00
2019-08-15,15:00,2019-08-15 15:00,0,0,0,0,0,,2019-09-04 10:21,2019-09-04 10:00,2019-09-23 11:02,2019-09-23 11:00,2019-09-18 16:02,2019-09-18 16:00,2019-09-17 12:56,2019-09-17 12:30,2019-09-20 11:49,2019-09-20 11:30
2019-08-15,15:30,2019-08-15 15:30,0,1,0,0,0,,2019-09-04 11:19,2019-09-04 11:00,2019-09-23 11:03,2019-09-23 11:00,2019-09-18 16:21,2019-09-18 16:00,2019-09-17 13:16,2019-09-17 13:00,2019-09-20 12:52,2019-09-20 12:30
2019-08-15,16:00,2019-08-15 16:00,0,0,0,0,0,,2019-09-04 16:18,2019-09-04 16:00,2019-09-23 12:26,2019-09-23 12:00,2019-09-18 18:34,2019-09-18 18:30,2019-09-17 17:07,2019-09-17 17:00,2019-09-23 13:18,2019-09-23 13:00
2019-08-15,16:30,2019-08-15 16:30,1,0,0,0,0,,2019-09-05 08:45,2019-09-05 08:30,2019-09-23 15:42,2019-09-23 15:30,2019-09-18 18:57,2019-09-18 18:30,2019-09-18 16:52,2019-09-18 16:30,2019-09-23 16:03,2019-09-23 16:00
2019-08-15,17:00,2019-08-15 17:00,0,0,0,0,0,,2019-09-05 08:51,2019-09-05 08:30,2019-09-23 16:01,2019-09-23 16:00,2019-09-18 19:01,2019-09-18 19:00,2019-09-19 10:53,2019-09-19 10:30,2019-09-23 16:20,2019-09-23 16:00
2019-08-15,17:30,2019-08-15 17:30,0,0,0,0,0,,2019-09-05 10:30,2019-09-05 10:30,2019-09-24 12:42,2019-09-24 12:30,2019-09-19 09:28,2019-09-19 09:00,2019-09-20 11:35,2019-09-20 11:30,2019-09-24 17:41,2019-09-24 17:30
2019-08-15,18:00,2019-08-15 18:00,0,0,0,0,0,,2019-09-05 10:33,2019-09-05 10:30,2019-09-24 12:45,2019-09-24 12:30,2019-09-19 16:29,2019-09-19 16:00,2019-09-20 11:35,2019-09-20 11:30,2019-09-25 15:24,2019-09-25 15:00
2019-08-15,18:30,2019-08-15 18:30,0,0,0,0,1,,2019-09-05 11:32,2019-09-05 11:30,2019-09-24 15:38,2019-09-24 15:30,2019-09-20 13:58,2019-09-20 13:30,2019-09-23 15:27,2019-09-23 15:00,2019-09-25 15:53,2019-09-25 15:30
2019-08-15,19:00,2019-08-15 19:00,0,1,0,0,0,,2019-09-05 13:41,2019-09-05 13:30,2019-09-25 12:36,2019-09-25 12:30,2019-09-23 09:20,2019-09-23 09:00,2019-09-23 15:51,2019-09-23 15:30,2019-09-25 16:22,2019-09-25 16:00
2019-08-15,19:30,2019-08-15 19:30,0,0,0,0,0,,2019-09-05 13:43,2019-09-05 13:30,2019-09-25 15:59,2019-09-25 15:30,2019-09-23 13:16,2019-09-23 13:00,2019-09-23 18:43,2019-09-23 18:30,2019-09-26 11:25,2019-09-26 11:00
2019-08-15,20:00,2019-08-15 20:00,0,0,0,2,0,,2019-09-05 19:38,2019-09-05 19:30,2019-09-25 16:40,2019-09-25 16:30,2019-09-23 16:21,2019-09-23 16:00,2019-09-24 15:09,2019-09-24 15:00,2019-09-26 15:54,2019-09-26 15:30
2019-08-15,20:30,2019-08-15 20:30,0,0,0,0,0,,2019-09-06 08:15,2019-09-06 08:00,2019-09-26 11:49,2019-09-26 11:30,2019-09-23 17:44,2019-09-23 17:30,2019-09-24 16:14,2019-09-24 16:00,2019-09-26 16:17,2019-09-26 16:00
2019-08-15,21:00,2019-08-15 21:00,0,0,0,0,0,,2019-09-06 08:24,2019-09-06 08:00,2019-09-26 14:14,2019-09-26 14:00,2019-09-23 20:29,2019-09-23 20:00,2019-09-25 16:33,2019-09-25 16:30,,1900-01-00 00:00
2019-08-16,07:00,2019-08-16 07:00,0,0,0,0,0,,2019-09-06 08:29,2019-09-06 08:00,2019-09-26 17:18,2019-09-26 17:00,2019-09-25 16:12,2019-09-25 16:00,2019-09-26 14:57,2019-09-26 14:30,,1900-01-00 00:00
2019-08-16,07:30,2019-08-16 07:30,1,0,0,0,0,,2019-09-06 08:30,2019-09-06 08:30,2019-09-27 14:03,2019-09-27 14:00,2019-09-26 08:22,2019-09-26 08:00,2019-09-26 15:01,2019-09-26 15:00,,1900-01-00 00:00
2019-08-16,08:00,2019-08-16 08:00,0,0,0,0,0,,2019-09-06 08:38,2019-09-06 08:30,2019-09-27 15:07,2019-09-27 15:00,2019-09-26 09:03,2019-09-26 09:00,2019-09-26 18:17,2019-09-26 18:00,,1900-01-00 00:00
2019-08-16,08:30,2019-08-16 08:30,0,0,0,0,0,,2019-09-06 08:59,2019-09-06 08:30,2019-09-27 16:26,2019-09-27 16:00,2019-09-26 15:33,2019-09-26 15:30,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,09:00,2019-08-16 09:00,1,0,0,0,0,,2019-09-06 09:12,2019-09-06 09:00,2019-09-27 16:34,2019-09-27 16:30,2019-09-27 10:58,2019-09-27 10:30,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,09:30,2019-08-16 09:30,1,0,0,0,0,,2019-09-06 10:00,2019-09-06 10:00,2019-09-27 20:40,2019-09-27 20:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,10:00,2019-08-16 10:00,0,0,0,0,0,,2019-09-06 10:07,2019-09-06 10:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,10:30,2019-08-16 10:30,0,0,0,0,0,,2019-09-06 12:52,2019-09-06 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,11:00,2019-08-16 11:00,0,0,0,0,0,,2019-09-09 08:08,2019-09-09 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,11:30,2019-08-16 11:30,0,0,0,0,0,,2019-09-09 08:13,2019-09-09 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,12:00,2019-08-16 12:00,0,0,0,0,0,,2019-09-09 08:40,2019-09-09 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,12:30,2019-08-16 12:30,0,0,0,0,0,,2019-09-09 09:34,2019-09-09 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,13:00,2019-08-16 13:00,0,0,1,0,0,,2019-09-09 09:57,2019-09-09 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,13:30,2019-08-16 13:30,0,0,0,0,0,,2019-09-09 15:03,2019-09-09 15:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,14:00,2019-08-16 14:00,0,0,0,1,0,,2019-09-10 07:13,2019-09-10 07:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,14:30,2019-08-16 14:30,0,0,0,0,0,,2019-09-10 07:35,2019-09-10 07:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,15:00,2019-08-16 15:00,0,1,0,1,0,,2019-09-10 08:46,2019-09-10 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,15:30,2019-08-16 15:30,0,0,0,1,0,,2019-09-11 07:46,2019-09-11 07:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,16:00,2019-08-16 16:00,0,0,1,0,1,,2019-09-11 08:10,2019-09-11 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,16:30,2019-08-16 16:30,0,0,0,0,0,,2019-09-11 08:45,2019-09-11 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,17:00,2019-08-16 17:00,0,0,0,0,0,,2019-09-11 09:28,2019-09-11 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,17:30,2019-08-16 17:30,0,0,0,0,1,,2019-09-11 09:28,2019-09-11 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,18:00,2019-08-16 18:00,0,0,0,1,0,,2019-09-11 09:47,2019-09-11 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,18:30,2019-08-16 18:30,0,0,0,3,0,,2019-09-11 11:16,2019-09-11 11:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,19:00,2019-08-16 19:00,0,0,0,0,0,,2019-09-11 16:28,2019-09-11 16:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,19:30,2019-08-16 19:30,1,0,0,0,0,,2019-09-12 11:12,2019-09-12 11:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,20:00,2019-08-16 20:00,0,0,0,0,0,,2019-09-13 08:20,2019-09-13 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,20:30,2019-08-16 20:30,0,0,0,0,0,,2019-09-13 08:31,2019-09-13 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-16,21:00,2019-08-16 21:00,0,0,0,0,0,,2019-09-13 08:53,2019-09-13 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,07:00,2019-08-19 07:00,1,0,0,0,0,,2019-09-13 08:58,2019-09-13 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,07:30,2019-08-19 07:30,1,0,0,0,0,,2019-09-13 09:09,2019-09-13 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,08:00,2019-08-19 08:00,0,0,0,0,0,,2019-09-13 10:47,2019-09-13 10:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,08:30,2019-08-19 08:30,0,0,1,0,0,,2019-09-13 10:55,2019-09-13 10:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,09:00,2019-08-19 09:00,0,0,0,0,0,,2019-09-13 16:53,2019-09-13 16:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,09:30,2019-08-19 09:30,0,0,0,0,0,,2019-09-16 08:41,2019-09-16 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,10:00,2019-08-19 10:00,0,0,0,0,0,,2019-09-16 08:50,2019-09-16 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,10:30,2019-08-19 10:30,1,0,0,0,0,,2019-09-16 09:05,2019-09-16 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,11:00,2019-08-19 11:00,0,0,0,0,0,,2019-09-16 11:36,2019-09-16 11:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,11:30,2019-08-19 11:30,0,0,0,0,0,,2019-09-16 12:46,2019-09-16 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,12:00,2019-08-19 12:00,0,0,0,0,0,,2019-09-17 08:02,2019-09-17 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,12:30,2019-08-19 12:30,0,0,0,0,0,,2019-09-17 08:45,2019-09-17 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,13:00,2019-08-19 13:00,0,0,0,1,0,,2019-09-17 08:49,2019-09-17 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,13:30,2019-08-19 13:30,0,0,0,0,0,,2019-09-17 09:56,2019-09-17 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,14:00,2019-08-19 14:00,0,0,0,0,0,,2019-09-18 08:07,2019-09-18 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,14:30,2019-08-19 14:30,0,0,0,1,0,,2019-09-18 11:16,2019-09-18 11:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,15:00,2019-08-19 15:00,0,0,0,0,2,,2019-09-18 12:14,2019-09-18 12:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,15:30,2019-08-19 15:30,0,0,1,0,2,,2019-09-18 12:35,2019-09-18 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,16:00,2019-08-19 16:00,0,0,1,0,1,,2019-09-18 17:10,2019-09-18 17:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,16:30,2019-08-19 16:30,0,0,0,0,0,,2019-09-19 08:55,2019-09-19 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,17:00,2019-08-19 17:00,0,0,0,0,0,,2019-09-19 10:14,2019-09-19 10:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,17:30,2019-08-19 17:30,0,0,0,0,1,,2019-09-19 10:48,2019-09-19 10:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,18:00,2019-08-19 18:00,0,1,0,0,0,,2019-09-19 12:36,2019-09-19 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,18:30,2019-08-19 18:30,0,0,0,0,0,,2019-09-19 12:37,2019-09-19 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,19:00,2019-08-19 19:00,0,0,0,0,0,,2019-09-19 14:18,2019-09-19 14:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,19:30,2019-08-19 19:30,0,0,0,0,0,,2019-09-19 16:44,2019-09-19 16:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,20:00,2019-08-19 20:00,0,0,0,0,0,,2019-09-20 08:31,2019-09-20 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,20:30,2019-08-19 20:30,0,0,0,0,0,,2019-09-20 09:02,2019-09-20 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-19,21:00,2019-08-19 21:00,0,0,0,0,0,,2019-09-20 09:27,2019-09-20 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,07:00,2019-08-20 07:00,1,0,0,0,0,,2019-09-20 09:33,2019-09-20 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,07:30,2019-08-20 07:30,0,0,1,0,0,,2019-09-20 11:37,2019-09-20 11:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,08:00,2019-08-20 08:00,0,0,0,0,0,,2019-09-20 13:09,2019-09-20 13:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,08:30,2019-08-20 08:30,1,1,0,0,0,,2019-09-20 13:10,2019-09-20 13:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,09:00,2019-08-20 09:00,0,0,0,0,0,,2019-09-23 07:58,2019-09-23 07:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,09:30,2019-08-20 09:30,1,0,0,0,0,,2019-09-23 08:36,2019-09-23 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,10:00,2019-08-20 10:00,0,0,0,0,0,,2019-09-23 09:42,2019-09-23 09:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,10:30,2019-08-20 10:30,0,0,0,0,0,,2019-09-23 11:38,2019-09-23 11:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,11:00,2019-08-20 11:00,1,0,0,0,0,,2019-09-23 11:39,2019-09-23 11:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,11:30,2019-08-20 11:30,0,0,0,0,0,,2019-09-23 12:51,2019-09-23 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,12:00,2019-08-20 12:00,0,0,0,0,0,,2019-09-23 14:20,2019-09-23 14:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,12:30,2019-08-20 12:30,1,0,0,0,0,,2019-09-24 07:49,2019-09-24 07:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,13:00,2019-08-20 13:00,0,0,0,0,0,,2019-09-24 09:09,2019-09-24 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,13:30,2019-08-20 13:30,0,0,0,0,0,,2019-09-25 08:16,2019-09-25 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,14:00,2019-08-20 14:00,0,1,0,0,0,,2019-09-25 08:22,2019-09-25 08:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,14:30,2019-08-20 14:30,0,0,0,1,0,,2019-09-25 08:41,2019-09-25 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,15:00,2019-08-20 15:00,0,0,0,0,2,,2019-09-25 08:48,2019-09-25 08:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,15:30,2019-08-20 15:30,0,1,0,0,1,,2019-09-25 09:03,2019-09-25 09:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,16:00,2019-08-20 16:00,0,0,0,0,0,,2019-09-25 12:40,2019-09-25 12:30,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
2019-08-20,16:30,2019-08-20 16:30,0,1,0,0,0,,2019-09-25 14:14,2019-09-25 14:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00,,1900-01-00 00:00
